date,time,tno,tvol,tval,pmin,pmax,py,pf,pl,plc,plp,pc,pcc,pcp
1405-03-13,17:49:10,781,117804678,133255118832,1131,1163,1165,1131,1131,-34,-2.92,1131,-34,-2.92
1405-03-12,13:29:56,3471,343252264,399855028347,1145,1199,1180,1156,1148,-32,-2.71,1165,-15,-1.27
1405-03-11,13:29:57,3583,478636064,564563363586,1160,1187,1153,1187,1168,15,1.3,1180,27,2.34
1405-03-10,13:28:45,218,42392639,48878712767,1153,1153,1120,1153,1153,33,2.95,1153,33,2.95
1405-03-09,13:28:55,273,50019699,56022062880,1120,1120,1088,1120,1120,32,2.94,1120,32,2.94
1405-03-05,13:29:25,1193,269010624,292616578958,1070,1088,1057,1088,1088,31,2.93,1088,31,2.93
1405-03-04,13:29:56,327,65536892,69272494844,1057,1057,1027,1057,1057,30,2.92,1057,30,2.92
1405-03-03,13:19:47,253,61168505,62820054635,1027,1027,998,1027,1027,29,2.91,1027,29,2.91
1405-03-02,06:14:32,0,0,0,0,0,998,0,998,0,0.0,998,0,0.0
1405-02-30,06:10:26,0,0,0,0,0,998,0,998,0,0.0,998,0,0.0
1405-02-29,06:10:20,0,0,0,0,0,998,0,998,0,0.0,998,0,0.0
1405-02-28,06:11:08,0,0,0,0,0,998,0,998,0,0.0,998,0,0.0
1405-02-27,06:10:15,0,0,0,0,0,998,0,998,0,0.0,998,0,0.0
1405-02-26,06:10:37,0,0,0,0,0,998,0,998,0,0.0,998,0,0.0
1405-02-23,06:11:07,0,0,0,0,0,998,0,998,0,0.0,998,0,0.0
1405-02-22,06:10:57,0,0,0,0,0,998,0,998,0,0.0,998,0,0.0
1405-02-21,06:10:56,0,0,0,0,0,998,0,998,0,0.0,998,0,0.0
1405-02-20,06:10:43,0,0,0,0,0,998,0,998,0,0.0,998,0,0.0
1405-02-19,06:10:16,0,0,0,0,0,998,0,998,-29,-2.91,998,0,0.0
1405-02-16,06:10:23,0,0,0,0,0,998,0,998,0,0.0,998,0,0.0
1405-02-15,06:10:51,0,0,0,0,0,998,0,998,0,0.0,998,0,0.0
1405-02-14,06:11:07,0,0,0,0,0,998,0,998,0,0.0,998,0,0.0
1405-02-13,06:15:08,0,0,0,0,0,998,0,998,0,0.0,998,0,0.0
1405-02-12,06:10:19,0,0,0,0,0,998,0,998,0,0.0,998,0,0.0
1405-02-09,06:11:05,0,0,0,0,0,998,0,998,0,0.0,998,0,0.0
1405-02-08,06:10:56,0,0,0,0,0,998,0,998,0,0.0,998,0,0.0
