time,l18,l30,isin,id,cs,cs_id,z,bvol,mv,eps,pe,tmin,tmax,pmin,pmax,py,pf,pl,plc,plp,pc,pcc,pcp,tno,tvol,tval,Buy_CountI,Buy_CountN,Sell_CountI,Sell_CountN,Buy_I_Volume,Buy_N_Volume,Sell_I_Volume,Sell_N_Volume,zd1,qd1,pd1,po1,qo1,zo1,zd2,qd2,pd2,po2,qo2,zo2,zd3,qd3,pd3,po3,qo3,zo3,zd4,qd4,pd4,po4,qo4,zo4,zd5,qd5,pd5,po5,qo5,zo5
12:30:00,وبملت,بانک ملت,IRO1BMLT0001,778253364357513,بانک‌ها و موسسات اعتباری,57,3382000000000,1,3963704000000000,559.0,2.1,1121,1189,1133,1189,1155,1154,1189,34,2.94,1172,17,1.47,78855,11152095808,13073969844267,10287,89,7585,73,7824561486,3327534322,8087602690,3064493118,616,150016536,1189,1192,310000,2,71,9648597,1188,1199,100000,1,44,10824946,1187,1200,2091128,7,43,10506502,1186,1203,86980,1,66,13245631,1185,1206,4216620,44
13:31:26,عیار,صندوق طلای عیار مفید,IRTKMOFD0001,34144395039913458,صندوق سرمایه‌گذاری قابل معامله,68,4665000000,1,2328842640000000,,,460244,562520,497006,501098,511382,500280,498989,-12393,-2.42,499216,-12166,-2.38,42149,36726167,18334301909255,19171,38,6587,32,34636832,1927080,33423813,3140099,2,66,498990,499000,3200,3,4,9013,498989,499098,11,1,1,3,498952,499100,11,1,1,100,498951,499110,673,2,5,12939,498950,499148,50,1
12:30:00,خودرو,ایران‌ خودرو,IRO1IKCO0001,65883838195688438,خودرو و ساخت قطعات,34,2563746068000,1,1284436780068000,-84.0,-6.0,492,522,492,520,507,499,506,-1,-0.2,501,-6,-1.18,41256,6027010968,3019687191697,5498,28,3394,32,4968672511,1058338457,3943911957,2083099011,28,3515480,504,506,2951649,16,40,7436206,503,507,22191501,70,56,13560130,502,508,31602424,85,46,10300003,501,509,26266035,76,83,17676856,500,510,22467652,76
12:30:00,ثپهران,توسعه ساختمان سپهر تهران,IRO1SPHR0001,4545713647225984,انبوه‌سازی، املاک و مستغلات,70,15000000000,1,57810000000000,659.0,5.8,3810,4044,3810,3970,3927,3810,3900,-27,-0.69,3854,-73,-1.86,32693,80304110,309476963247,1065,3,30547,13,52341949,27962161,80292853,11257,2,266522,3900,3900,6928,8,3,17406,3898,3901,178284,13,2,15114,3897,3902,107724,21,1,8000,3895,3903,10808,13,2,4322,3893,3904,12339,15
12:29:46,فملی,ملی‌ صنایع‌ مس‌ ایران,IRO1MSMI0001,35425587644337450,فلزات اساسی,27,1050000000000,1,19792500000000000,1023.0,18.4,17940,19040,18110,19040,18490,18950,19040,550,2.97,18850,360,1.95,31315,545824454,10291175511800,9857,62,6430,53,371273219,174551235,393793158,152031296,4304,146523399,19040,19040,67,1,74,869524,19030,0,0,0,36,210979,19020,0,0,0,18,161801,19010,0,0,0,76,472670,19000,0,0,0
12:30:00,شپدیس,پتروشیمی پردیس,IRO1PRDZ0001,20562694899904339,محصولات شیمیایی,44,233572772000,1,3020095941960000,2047.0,6.3,12840,13620,12840,13380,13230,13060,13120,-110,-0.83,12930,-300,-2.27,26974,651474311,8424125631440,5981,25,3326,58,344913349,306560962,414115701,237358610,1,19846,13120,13120,28857,3,1,10000,13110,13130,178347,6,7,304859,13100,13140,500000,5,11,276235,13090,13150,220277,5,12,218135,13080,13160,343987,7
12:29:59,فزر,پویا زرکان آق دره,IRO3PZAZ0001,8175784894140974,استخراج کانه‌های فلزی,13,5400000000,1,670410000000000,9302.0,13.3,121500,129000,121500,129000,125250,129000,123300,-1950,-1.56,124150,-1100,-0.88,21415,55874829,6937789158950,6718,47,5103,32,45513743,10361086,47777049,8097780,5,49170,123200,123450,1602,4,2,235,123100,123500,15100,3,4,984,123050,123550,100,1,10,30041,123000,123600,18010,6,5,1264,122950,123700,400,1
12:30:00,شستا,سرمایه گذاری تامین اجتماعی,IRO1TAMN0001,2400322364771558,شرکت‌های چند رشته‌ای صنعتی,39,1636013456000,1,2795946996304000,189.0,9.0,1693,1797,1693,1769,1745,1694,1728,-17,-0.97,1709,-36,-2.06,21175,2372842947,4054030006861,4248,34,3096,37,1475696488,897146459,1222848644,1149994303,2,153000,1727,1728,42399,1,8,1312405,1726,1730,2400000,6,5,527689,1725,1731,16051,1,1,10000,1722,1733,417281,3,8,149134,1721,1734,1315812,6
12:30:00,اهرم,صندوق س سهامی کاریزما- اهرمی,IRT1AHRM0001,17914401175772326,صندوق سرمایه‌گذاری قابل معامله,68,5500000000,1,199105500000000,,,34095,36935,34640,36935,35515,35700,36935,1420,4.0,36201,686,1.93,18750,286367627,10366928843674,3986,30,3878,28,273737417,12630210,267719575,18648052,582,18861441,36935,37500,12771,1,3,150500,36934,37510,3780,3,4,55185,36930,39060,7152,1,1,100000,36929,39500,500,1,1,2000,36922,40630,8467,2
12:29:51,شبندر,پالایش نفت بندرعباس,IRO1PNBA0001,35366681030756042,فراورده‌های نفتی، کک و سوخت هسته‌ای,23,409742862100,1,3769634331320000,1572.0,5.9,8680,9200,9040,9200,8940,9200,9200,260,2.91,9200,260,2.91,18625,1074217336,9877927205670,3962,70,3240,43,618825749,455391587,612314663,461902673,2323,307908588,9200,9290,30000,3,18,177802,9190,9310,1000,1,8,90791,9180,9320,2000,1,14,1247715,9170,9330,8500,2,20,1526683,9160,9340,11600,5
